Started phase 0, duration: 60s @ 10:39:14(-0800) 2019-03-08
Report @ 10:39:24(-0800) 2019-03-08
Elapsed time: 32 seconds
  Scenarios launched:  162
  Scenarios completed: 0
  Requests completed:  0
  RPS sent: 467.65
  Request latency:
    min: NaN
    max: NaN
    median: NaN
    p95: NaN
    p99: NaN

house 8602907 '930 Jayne Prairie' sold for 9194560
house 9236256 '648 Judy Landing' sold for 16880196
house 7508412 '582 Deonte Mountains' sold for 25787350
house 9162370 '1884 Ondricka Road' sold for 13759471
house 9934281 '4750 Louie Spur' sold for 3675076
house 8108701 '7335 Reinger Via' sold for 3192817
house 8296410 '98403 Teagan Mews' sold for 19738530
house 9899691 '4030 Mertz Drive' sold for 24863478
house 9442229 '521 Sonya Trace' sold for 28870129
house 8502927 '8233 Nicolas Summit' sold for 29818446
house 9578970 '606 Skiles Tunnel' sold for 28502419
house 8412423 '63053 Kulas Parkways' sold for 1865574
house 9028919 '628 Sid Fords' sold for 12942092
house 9720463 '8402 Cecilia Squares' sold for 28605241
house 7817604 '243 Murazik Street' sold for 16824944
house 9486560 '77763 Deckow Ramp' sold for 21947880
house 8253593 '01985 Dibbert Hills' sold for 15383374
house 8546564 '2288 Schamberger Meadows' sold for 14130976
house 8509512 '4913 Bertrand Roads' sold for 25498920
house 7957915 '849 Deondre Light' sold for 6903648
house 9039189 '73693 Garret Manors' sold for 7556665
house 8442671 '475 Dickens Brook' sold for 25726552
house 9147667 '519 Angel Village' sold for 2887629
house 9377698 '6488 Johnson Dam' sold for 3041415
house 8372290 '81199 Roscoe Greens' sold for 8234756
house 7534223 '535 Gusikowski Points' sold for 11525423
house 8570098 '2809 Flatley Creek' sold for 26078086
house 7832816 '426 Kuhlman Flats' sold for 18499235
house 8138289 '5621 Reichel Skyway' sold for 7624758
house 8204134 '176 Pfannerstill Pike' sold for 7190132
house 8462987 '295 Armstrong Springs' sold for 18673995
house 8555953 '330 Hilpert Ways' sold for 23338230
house 9566321 '71200 Hodkiewicz Ports' sold for 28101581
house 8557553 '4714 Merle Glens' sold for 8391513
house 8789340 '2988 Hegmann Estate' sold for 1856265
house 9798737 '73225 Bergstrom Lights' sold for 10406613
house 9562129 '903 Jast Dam' sold for 24030453
house 8471326 '67073 Freeda Lake' sold for 4714402
house 9654423 '98228 Feil Mission' sold for 3986950
house 7477992 '94774 Marlon Circle' sold for 4208210
house 9535541 '1012 Chester Keys' sold for 19655520
house 7461617 '82364 Feeney Trail' sold for 29595746
house 9250772 '9667 Pat Street' sold for 18735219
house 9553612 '7366 Julius Keys' sold for 3597507
house 8587780 '520 Braun Branch' sold for 29891987
house 9813011 '365 Flossie Dam' sold for 24799008
house 9206155 '191 Warren Garden' sold for 6957217
house 7840803 '2575 Xander Crescent' sold for 20943240
house 7968915 '438 Roberts Stravenue' sold for 21143476
